Application,Bitstream,MemoryReader,Predictor,MemoryWriter,MR Buffers,MW Buffers,MR BatchSize,MW BatchSize,Sampling,TupleSent,BatchesSent,TuplesReceived,BatchesReceived,Throughput (t/s),Throughput (B/s),Time (ms),Time Compute (ns),Samples,Total,Mean,0,5,25,50,75,95,100
FraudDetection,kernels/fdh111/hw/build/fdh.xclbin,1,1,1,8,8,128,128,1024,42765312,334104,9150976,71492,14254389,228070224,3579,3000150392,3073,9150976,115,71,90,97,102,108,119,4110
FraudDetection,kernels/fdh111/hw/build/fdh.xclbin,1,1,1,8,8,256,256,1024,73917952,288742,15844864,61894,24638024,394208384,3601,3000157449,3073,15844864,159,82,101,112,120,133,378,3048
FraudDetection,kernels/fdh111/hw/build/fdh.xclbin,1,1,1,8,8,512,512,1024,145395712,283976,31203839,60945,48462776,775404416,3568,3000152318,3073,31203839,126,91,102,111,117,122,140,4100
FraudDetection,kernels/fdh111/hw/build/fdh.xclbin,1,1,1,8,8,1024,1024,1024,230579200,225175,49507328,48347,76853662,1229658592,3587,3000236976,3073,49507328,134,100,114,123,130,136,145,2994
FraudDetection,kernels/fdh111/hw/build/fdh.xclbin,1,1,1,8,8,2048,2048,1024,443842560,216720,95332352,46549,147933562,2366936992,3607,3000283055,3073,95332352,153,124,132,139,144,149,156,4207
FraudDetection,kernels/fdh111/hw/build/fdh.xclbin,1,1,1,8,8,4096,4096,1024,633643008,154698,136116190,33232,211191883,3379070128,3551,3000318941,3073,136116190,198,157,165,175,184,218,239,3158
FraudDetection,kernels/fdh111/hw/build/fdh.xclbin,1,1,1,8,8,8192,8192,1024,755572736,92233,162315922,19814,251820301,4029124816,3606,3000444096,3073,162315922,393,244,254,400,411,423,430,4513
FraudDetection,kernels/fdh111/hw/build/fdh.xclbin,1,1,1,8,8,16384,16384,1024,829014016,50599,178094080,10870,276275720,4420411520,3563,3000676329,3073,178094080,799,401,717,728,746,762,963,3564
FraudDetection,kernels/fdh111/hw/build/fdh.xclbin,1,1,1,8,8,32768,32768,1024,859766784,26238,184704690,5637,286468533,4583496528,3527,3001260819,3074,184704690,1415,892,1360,1382,1412,1441,1462,3946
FraudDetection,kernels/fdh111/hw/build/fdh.xclbin,1,1,1,8,8,65536,65536,1024,871759872,13302,187281683,2858,290341963,4645471408,3563,3002527985,3075,187281683,2764,1416,2652,2697,2760,2817,2862,6619
FraudDetection,kernels/fdh222/hw/build/fdh.xclbin,2,2,2,8,8,4096,4096,1024,1042075648,254413,189308574,46157,347316965,5557071440,4019,3000359189,6146,94663688,6002845490730,80,107,149,912,963,338590,18446744073707840
FraudDetection,kernels/fdh222/hw/build/fdh.xclbin,2,2,2,8,8,8192,8192,1024,1442398208,176074,261696486,31946,480718089,7691489424,4056,3000507451,6147,130848246,476,302,450,463,472,480,494,3953
FraudDetection,kernels/fdh222/hw/build/fdh.xclbin,2,2,2,8,8,16384,16384,1024,1551319040,94685,281490276,17182,516964523,8271432368,3996,3000823014,6147,140745138,852,502,819,835,851,866,880,5162
FraudDetection,kernels/fdh222/hw/build/fdh.xclbin,2,2,2,8,8,32768,32768,1024,1652359168,50426,299708187,9148,550522340,8808357440,4013,3001438901,6148,149854094,1590,998,1535,1558,1588,1615,1640,3137
FraudDetection,kernels/fdh222/hw/build/fdh.xclbin,2,2,2,8,8,65536,65536,1024,1690435584,25794,306642605,4680,563015266,9008244256,3995,3002468468,6151,153321303,3085,1667,2961,3006,3066,3124,3174,6367
FraudDetection,kernels/fdh444/hw/build/fdh.xclbin,4,4,4,8,8,256,256,1024,107682048,420633,19667772,76828,35887732,574203712,4963,3000525264,12296,4916943,418,211,285,347,425,446,475,5883
FraudDetection,kernels/fdh444/hw/build/fdh.xclbin,4,4,4,8,8,512,512,1024,286323200,559225,52262912,102076,95424871,1526797936,4930,3000509155,12296,13065728,352,236,289,302,313,336,572,1084
FraudDetection,kernels/fdh444/hw/build/fdh.xclbin,4,4,4,8,8,1024,1024,1024,553226240,540260,102191104,99796,184380078,2950081248,4902,3000466450,12297,25547776,309,209,278,297,309,320,336,1071
FraudDetection,kernels/fdh444/hw/build/fdh.xclbin,4,4,4,8,8,2048,2048,1024,1101598720,537890,201065159,98177,367145478,5874327648,4934,3000442018,12297,50262016,345,201,272,301,317,341,535,1242
FraudDetection,kernels/fdh444/hw/build/fdh.xclbin,4,4,4,8,8,4096,4096,1024,1725763584,421329,314894002,76880,575143477,9202295632,4950,3000579249,12460,78723502,381,234,300,359,377,390,415,1524
