Application,Bitstream,Source,Average,Detector,Sink,MR Buffers,MW Buffers,MR BatchSize,MW BatchSize,Sampling,TupleSent,BatchesSent,TuplesReceived,BatchesReceived,Throughput (t/s),Throughput (B/s),Time (ms),Time Compute (ns),Samples,Total,Mean,0,5,25,50,75,95,100
SpikeDetection,kernels/sdtc1111/hw/build/sdtc.xclbin,1,1,1,1,8,8,32,32,1024,8316640,259895,112734,3525,2771960,22175680,3667,3000274101,0,0,0,0,0,0,0,0,0,0
SpikeDetection,kernels/sdtc1111/hw/build/sdtc.xclbin,1,1,1,1,8,8,64,64,1024,23151424,361741,314336,4912,7716469,61731752,3617,3000261119,0,0,0,0,0,0,0,0,0,0
SpikeDetection,kernels/sdtc1111/hw/build/sdtc.xclbin,1,1,1,1,8,8,128,128,1024,40523776,316592,557122,4353,13507270,108058160,3682,3000145533,0,0,0,0,0,0,0,0,0,0
SpikeDetection,kernels/sdtc1111/hw/build/sdtc.xclbin,1,1,1,1,8,8,256,256,1024,82310400,321525,1368576,5346,27434901,219479208,3603,3000207589,0,0,0,0,0,0,0,0,0,0
SpikeDetection,kernels/sdtc1111/hw/build/sdtc.xclbin,1,1,1,1,8,8,512,512,1024,171142144,334262,2322977,4538,57042813,456342504,3642,3000240220,0,0,0,0,0,0,0,0,0,0
SpikeDetection,kernels/sdtc1111/hw/build/sdtc.xclbin,1,1,1,1,8,8,1024,1024,1024,194194432,189643,2677964,2616,64727360,517818880,3624,3000190802,0,0,0,0,0,0,0,0,0,0
SpikeDetection,kernels/sdtc1111/hw/build/sdtc.xclbin,1,1,1,1,8,8,2048,2048,1024,466784256,227922,6319352,3086,155581410,1244651280,3619,3000257252,0,0,0,0,0,0,0,0,0,0
SpikeDetection,kernels/sdtc1111/hw/build/sdtc.xclbin,1,1,1,1,8,8,4096,4096,1024,668610560,163235,9980383,2437,222847366,1782778928,3700,3000307212,0,0,0,0,0,0,0,0,0,0
SpikeDetection,kernels/sdtc1111/hw/build/sdtc.xclbin,1,1,1,1,8,8,8192,8192,1024,776003584,94727,10495522,1282,258634283,2069074264,3658,3000389477,0,0,0,0,0,0,0,0,0,0
SpikeDetection,kernels/sdtc1111/hw/build/sdtc.xclbin,1,1,1,1,8,8,16384,16384,1024,843055104,51456,11399518,696,280962333,2247698664,3654,3000598316,0,0,0,0,0,0,0,0,0,0
