Application,Bitstream,MemoryReader,AverageCalculator,SpikeDetector,MemoryWriter,MR Buffers,MW Buffers,MR BatchSize,MW BatchSize,Sampling,TupleSent,BatchesSent,TuplesReceived,BatchesReceived,Throughput MR (t/s),Throughput MR (B/s),Throughput MW (t/s),Throughput MW (B/s),Time (ms),Time Compute (ns),Samples,Total,Mean,0 (us),5 (us),25 (us),50 (us),75 (us),95 (us),100 (us)
SpikeDetection,kernels/sdth1111/hw/build/sdth.xclbin,1,1,1,1,8,8,1024,1024,1024,6117245952,5973873,485765,475,101953623,815628984,8096,129536,64225,60000279929,61441,485765,30062992,94599,3079941,15032209,30081641,45071643,57062999,60000103
SpikeDetection,kernels/sdth1111/hw/build/sdth.xclbin,1,1,1,1,8,8,2048,2048,1024,10932787200,5338275,846129,414,182212326,1457698608,14102,225632,60703,60000261351,61441,846129,30072227,149415,3031886,15090075,30048668,45015543,57069885,60000155
SpikeDetection,kernels/sdth1111/hw/build/sdth.xclbin,1,1,1,1,8,8,4096,4096,1024,13417906176,3275856,1040214,254,223630257,1789042056,17336,277376,60627,60000405780,61441,1040214,30117692,237331,3075851,15144773,30203003,45098142,57169229,60000212
SpikeDetection,kernels/sdth1111/hw/build/sdth.xclbin,1,1,1,1,8,8,8192,8192,1024,15546785792,1897801,1202900,147,259110716,2072885728,20048,320768,60671,60000551193,61441,1202900,30203692,409466,3272857,15114050,30228797,45351279,57205723,60000324
SpikeDetection,kernels/sdth1111/hw/build/sdth.xclbin,1,1,1,1,8,8,16384,16384,1024,16353492992,998138,1265118,78,272554800,2180438400,21085,337360,60626,60000751915,61442,1265118,30387657,778032,3111458,15544653,30299921,45066142,57500741,60000585
SpikeDetection,kernels/sdth1111/hw/build/sdth.xclbin,1,1,1,1,8,8,32768,32768,1024,17064951808,520781,1320094,41,284409626,2275277008,22001,352016,60593,60001315844,61442,1320094,30740897,1493045,4472173,16388661,31275477,46168796,58085539,60001040
SpikeDetection,kernels/sdth1111/hw/build/sdth.xclbin,1,1,1,1,8,8,65536,65536,1024,17321885696,264311,1339703,21,288686797,2309494376,22327,357232,60604,60002348133,61443,1339703,31450455,2938517,5873474,17613622,32288650,46963714,58703968,60001894
SpikeDetection,kernels/sdth2222/hw/build/sdth.xclbin,2,2,2,2,8,8,1024,1024,1024,11395520512,11128438,289841432,283049,189924462,1519395696,4830668,77290688,64970,60000277683,122882,145087322,30000034,2562,2999523,15001997,29999760,45000001,56999568,59999918
SpikeDetection,kernels/sdth2222/hw/build/sdth.xclbin,2,2,2,2,8,8,2048,2048,1024,17909063680,8744660,253163141,123616,298482760,2387862080,4219362,67509792,60968,60000328425,122883,126617690,30003545,76605,2999596,15058822,29999672,45000072,57001514,60000232
SpikeDetection,kernels/sdth2222/hw/build/sdth.xclbin,2,2,2,2,8,8,4096,4096,1024,25494839296,6224326,157845009,38537,424911073,3399288584,2630732,42091712,60950,60000411524,122882,78929889,30041769,193116,3215446,14999777,29999941,45007422,57000454,60000237
SpikeDetection,kernels/sdth2222/hw/build/sdth.xclbin,2,2,2,2,8,8,8192,8192,1024,30480326656,3720743,109271441,13340,508001175,4064009400,1821175,29138800,61037,60000504184,122883,54634410,30075644,394282,3001515,15137051,30002127,45003667,57002590,60000342
SpikeDetection,kernels/sdth2222/hw/build/sdth.xclbin,2,2,2,2,8,8,16384,16384,1024,31977832448,1951772,182052777,11112,532955908,4263647264,3034167,48546672,61000,60000896777,122884,91024837,30077132,8076,3002296,15289805,30199905,45003526,57003742,60000654
SpikeDetection,kernels/sdth2222/hw/build/sdth.xclbin,2,2,2,2,8,8,32768,32768,1024,33688059904,1028078,129933331,3966,561453261,4491626088,2165499,34647984,61104,60001539278,122884,64966456,30361707,546727,3001888,14999891,30462879,45438888,57876712,60001170
SpikeDetection,kernels/sdth2222/hw/build/sdth.xclbin,2,2,2,2,8,8,65536,65536,1024,34607267840,528065,131294601,2004,576756893,4614055144,2188126,35010016,60958,60003214897,122886,65647913,30169837,35055,3038299,15071024,30012362,45362248,57023938,60002041
SpikeDetection,kernels/sdth3333/hw/build/sdth.xclbin,3,3,3,3,8,8,1024,1024,1024,12265743360,11978265,319882032,312385,204427831,1635422648,5331335,85301360,66081,60000359459,184325,106638295,30000199,8569,2999019,14999452,29999852,45000633,57008317,60000207
SpikeDetection,kernels/sdth3333/hw/build/sdth.xclbin,3,3,3,3,8,8,2048,2048,1024,24955432960,12185270,287345249,140307,415920576,3327364608,4789049,76624784,61482,60000476922,184325,95755174,30003500,5254,3008722,14999812,29999768,45003121,57001717,60000232
SpikeDetection,kernels/sdth3333/hw/build/sdth.xclbin,3,3,3,3,8,8,4096,4096,1024,37108928512,9059797,377886089,92260,618477647,4947821176,6298055,100768880,61422,60000435997,184326,125960343,30002496,8720,2999369,15000633,30000253,45026171,57001145,60000315
SpikeDetection,kernels/sdth3333/hw/build/sdth.xclbin,3,3,3,3,8,8,8192,8192,1024,44623659008,5447224,264832841,32330,743717920,5949743360,4413822,70621152,61421,60000784937,184326,88277712,30047581,310564,2999658,15000519,30002506,45202938,57086448,60000519
SpikeDetection,kernels/sdth3333/hw/build/sdth.xclbin,3,3,3,3,8,8,16384,16384,1024,47688384512,2910668,346864699,21172,794791154,6358329232,5780967,92495472,61466,60001151535,184327,115620661,30058882,30805,3145820,15001477,30002877,45010710,57547868,60000752
SpikeDetection,kernels/sdth3333/hw/build/sdth.xclbin,3,3,3,3,8,8,32768,32768,1024,49256038400,1503175,705119572,21519,820911560,6567292480,11751672,188026752,61426,60001638157,184328,235039551,30004129,8057,2999109,15004174,30006230,45009849,57002479,60001221
SpikeDetection,kernels/sdth3333/hw/build/sdth.xclbin,3,3,3,3,8,8,65536,65536,1024,50576031744,771729,394099428,6015,842898017,6743184136,6568044,105088704,61459,60002551530,184331,131366295,30029755,20070,3206930,15012726,30018472,45025180,57014040,60002066
SpikeDetection,kernels/sdth4444/hw/build/sdth.xclbin,4,4,4,4,8,8,1024,1024,1024,12953918464,12650311,395869567,386592,215896417,1727171336,6597758,105564128,67000,60000617973,245765,98972180,29999889,10675,2999299,14999266,29999564,44999789,57000279,60000511
SpikeDetection,kernels/sdth4444/hw/build/sdth.xclbin,4,4,4,4,8,8,2048,2048,1024,26307971072,12845689,399018898,194835,438462703,3507701624,6650262,106404192,61926,60000476352,245821,99753331,29993711,4837,2987045,14990033,29993120,44998764,57000116,60000301
SpikeDetection,kernels/sdth4444/hw/build/sdth.xclbin,4,4,4,4,8,8,4096,4096,1024,45392371712,11082122,662804627,161819,756533082,6052264656,11046649,176746384,61941,60000511244,245767,165696467,30000859,2638,2999721,14999399,30000060,45000580,57000877,60000338
SpikeDetection,kernels/sdth4444/hw/build/sdth.xclbin,4,4,4,4,8,8,8192,8192,1024,52944584704,6462962,639277607,78039,882400656,7059205248,10654517,170472272,61966,60000617965,245767,159817369,30011021,6222,3000699,15004571,30000468,45001261,57006067,60000413
SpikeDetection,kernels/sdth4444/hw/build/sdth.xclbin,4,4,4,4,8,8,16384,16384,1024,59335507968,3621552,1021681003,62360,988909808,7911278464,17027752,272444032,61951,60000929788,245915,255424124,29985024,22702,2973078,14973350,29983316,44993906,57001316,60000766
